appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
50920,Hidden Expedition: Amazon,game,9.99,00:00.0,-1,0,0
8970,Axel & Pixel,game,4.99,00:00.0,-1,0,0
208090,Loadout,game,0,00:00.0,72,17,1
307090,Fancy Skulls,game,8.99,00:00.0,-1,0,0
33900,Arma 2,game,12.99,00:00.0,77,17,1
18070,The Baconing,game,14.99,00:00.0,63,0,0
12590,Sprint Cars Road to Knoxville,game,9.99,00:00.0,-1,0,1
92800,SpaceChem,game,9.99,00:00.0,84,0,0
2610,GUN™,game,19.99,00:00.0,76,17,0
292390,Realms of the Haunting,game,9.99,00:00.0,-1,0,0
91700,E.Y.E: Divine Cybermancy,game,9.99,00:00.0,-1,0,1
38160,Farm Frenzy 3: American Pie,game,9.99,00:00.0,-1,0,0
34440,Sid Meier's Civilization® IV,game,19.99,00:00.0,94,0,1
243930,Bound By Flame,game,29.99,00:00.0,56,0,0
210550,Angry Birds Space,game,4.99,00:00.0,-1,0,0
27200,Summer Athletics,game,19.99,00:00.0,-1,0,1
305640,Shattered Planet,game,14.99,00:00.0,-1,0,0
20900,The Witcher: Enhanced Edition Director's Cut,game,9.99,00:00.0,86,0,0
270270,Frozen State,game,9.99,00:00.0,-1,0,0
40100,Supreme Commander 2,game,12.99,00:00.0,77,0,1
297570,Warrior Kings,game,9.99,00:00.0,73,0,0
257050,Darkout,game,14.99,00:00.0,55,0,0
70640,Worms,game,7.99,00:00.0,-1,0,0
297620,Rocko's Quest,game,4.99,00:00.0,41,0,0
12220,Grand Theft Auto: Episodes from Liberty City,game,19.99,00:00.0,-1,17,1
251210,Hive,game,9.99,00:00.0,-1,0,1
253860,Earth 2140,game,4.99,00:00.0,-1,0,0
275470,Chip,game,6.99,00:00.0,-1,0,0
307070,Memories of a Vagabond,game,4.99,00:00.0,-1,0,0
73060,Defenders of Ardania,game,9.99,00:00.0,58,0,1
270430,Cypress Inheritance: The Beginning,game,5.99,00:00.0,-1,0,0
1313,SiN Episodes: Emergence,game,9.99,00:00.0,75,0,0
226100,PixelJunk™ Nom Nom Galaxy,game,9.99,00:00.0,68,0,1
65200,Dive to the Titanic,game,9.99,00:00.0,-1,0,0
301680,Psichodelya,game,6.99,00:00.0,-1,0,0
277470,The Book of Legends,game,14.99,00:00.0,-1,0,0
216290,Gateways,game,4.99,00:00.0,72,0,0
50300,Spec Ops: The Line,game,29.99,00:00.0,76,17,1
9010,Return to Castle Wolfenstein,game,9.99,00:00.0,88,0,1
240760,Wasteland 2: Director's Cut,game,39.99,00:00.0,87,17,0
207080,Indie Game: The Movie,game,9.99,00:00.0,-1,0,0
9800,Death to Spies,game,4.99,00:00.0,69,0,0
246680,Secrets of Rætikon,game,9.99,00:00.0,-1,0,0
236130,Horizon,game,29.99,00:00.0,58,0,0
252070,Gimbal,game,14.99,00:00.0,-1,0,1
200080,Nancy Drew®:  Shadow at the Water's Edge,game,6.99,00:00.0,-1,0,0
33680,eversion,game,4.99,00:00.0,-1,0,0
29160,Blueberry Garden,game,4.99,00:00.0,68,0,0
65540,Gothic 1,game,19.99,00:00.0,81,0,0
283980,"Spy Fox in ""Dry Cereal""",game,6.99,00:00.0,-1,0,0
10120,Aces of the Galaxy™,game,9.99,00:00.0,-1,0,0
9940,Blade Kitten,game,2.99,00:00.0,52,0,0
46260,Star Wolves 3: Civil War,game,6.99,00:00.0,-1,0,0
38410,Fallout 2: A Post Nuclear Role Playing Game,game,9.99,00:00.0,86,16,0
3330,Zuma Deluxe,game,4.99,00:00.0,-1,0,0
9990,Ghostbusters: Sanctum of Slime,game,9.99,00:00.0,43,0,0
214560,Mark of the Ninja,game,14.99,00:00.0,91,17,0
294770,Haegemonia: Legions of Iron,game,4.99,00:00.0,-1,0,1
91310,Dead Island: Game of the Year Edition,game,19.99,00:00.0,80,17,1
250030,Lilly Looking Through,game,9.99,00:00.0,71,0,0
261470,Distant Worlds: Universe,game,59.99,00:00.0,81,0,0
254200,FortressCraft Evolved!,game,12.99,00:00.0,-1,0,1
94520,Back to the Future: The Game,game,19.99,00:00.0,74,0,0
310450,Steel & Steam: Episode 1,game,0,00:00.0,-1,0,0
221040,Resident Evil 6 / Biohazard 6,game,29.99,00:00.0,69,16,1
6860,Hitman: Blood Money,game,8.99,00:00.0,82,17,0
104200,BEEP,game,1.99,00:00.0,-1,0,0
12690,Hunting Unlimited 2010,game,9.99,00:00.0,-1,0,0
239430,Q.U.B.E: Director's Cut,game,9.99,00:00.0,-1,0,0
102200,Runespell: Overture,game,9.99,00:00.0,69,0,0
1002,Rag Doll Kung Fu,game,9.99,00:00.0,69,0,1
39650,The Guild II,game,9.99,00:00.0,61,0,0
227320,You Need a Budget 4,game,59.99,00:00.0,-1,0,0
311850,Zombie Solitaire,game,6.99,00:00.0,-1,0,0
270210,Melody's Escape,game,9.99,00:00.0,-1,0,0
283660,Rabbit Hole 3D: Steam Edition,game,2.99,00:00.0,-1,0,0
32750,Comanche 4,game,9.99,00:00.0,74,0,1
261530,Lifeless Planet Premier Edition,game,19.99,00:00.0,59,0,0
42170,Krater,game,14.99,00:00.0,52,0,0
259980,YOU DON'T KNOW JACK Vol. 4 The Ride,game,2.99,00:00.0,-1,0,1
